comment ,pick,state
"I appreciate Mr. Friedman's attempt to broaden the conversation but, speaking as a Harvard trained epidemiologist, there are so many problems with what he wrote that I found this more misleading than helpful. Just one (of many) puzzling comments in this editorial: Dr. Steven Woolf, director emeritus of the Center on Society and Health at Virginia Commonwealth University, shared with me some thoughts he was hammering into an essay: ?Society?s response to Covid-19, such as closing businesses and locking down communities, may be necessary to curb community spread but could harm health in other ways, costing lives. Imagine a patient with chest pain or a developing stroke, where speed is essential to save lives, hesitating to call 911 for fear of catching the coronavirus. Or a cancer patient having to delay chemotherapy because the facility is closed. Or a patient with advanced emphysema who dies for lack of a facility with a ventilator.?? How would NOT closing businesses and trying to limit community spread result in seriously ill individuals feeling safer about calling 911? Where is the evidence that chemotherapy is being delayed due to facilities being closed? That's like saying hospitals are part of the mandated business closings. Ah, I don't think so. Individuals with advanced emphysema are MORE likely not to have a ventilator if we don't slow down infections and take the burden off the health care system. Very disappointing article.",Reader Picks,MA
"But, we did not have testing available when it was most needed because the administration decided not to accept testing from WHO. We do not have adequate testing now. 40% or more of infections are in those under 50 and some of these die, so it is not the flu. Herd immunity requires about 70% of the population to have contacted the virus or been immunized with a vaccine. Natural herd immunity has a steep curve that will kill hundreds of thousands. Vaccination is at least 12 months away. Yes, we should have had testing available so we could have isolated those at serious risk of dying (nursing homes, retirement communities, elderly workers , etc) but we did not and now we have vectors all over the US with little or no testing available to determine which of the high risk people are infected or which of the low risk people can go back to work in a non-infected work place. We lost the chance to contain the economic disaster we are now entering because of incompetent, intentional, poor governance from a republican party that has wanted to shrink the government until it could be drowned in a bathtub for the past 40 years. The republican party is now killing the US population instead. We will get through this, but the republican party needs to pay a high price. They need to go the way of the Whigs.",Reader Picks,montana
I make $14/hr. No benefits. Really not hurrying back to that...for the economy's sake or mine.,Reader Picks,IL 
@mitchell Exactly this. Until we have wide spread testing everywhere available to literally everyone we can't just go back to business as usual. We need to test people as frequently as needed to isolate infected asymptomatic cases as soon as possible to decrease the infection rate. Then and only then life can go back. Otherwise this disease will keep coming and hitting in waves.,Reader Picks,IL 
"You are not paying attention. The only way we could have gone back to work quickly would have been massive testing as soon as the corona virus arrived in America. We missed that opportunity. Of course people want to go back to work, but be realistic. Don't you have some responsibility as a columnist to promote a realistic assessment of the facts? Based on what is happening in other countries, we may not be at 'peak corona' until early- to mid-May. If everyone leaves self-isolation without testing, then asymptomatic people who have the virus will give it to others, and the process will start again. This whole mess could have been avoided by massive early testing. But the president said it wasn't serious.",Reader Picks,CO
"This crisis is striking at the frailest part of America: Our identity. For two centuries, we?ve been fed a diet of propaganda that we?ve all frontiersmen and rugged individualists, and nothing can abrogate that. Whatever threatens our ?I?m going my way? ethos is the enemy, from Native Americans to terrorists. We?ll draw our trusty six-shooters, saddle up, and yee-haw our way to victory. Except that the terrorists this time require that we think as a collective, that we drop our cherished pretense as one of 300,000,000 people going our own way, and start going the same way together, or else. We?re not cowboys or frontiersmen. We?re neighbors and coworkers who need to think like a Union, not a loose collection of states. That?s the primary failing of Trump; he?s spinning a romantic trope -me first, I?m an American ? that is counterproductive at least, and deadly at worst. We?re not cowboys, and our individual actions affect everyone else.",Reader Picks,CA
"Not a word here or anywhere about taxing all billionaires out of existence, as we should?ve done long ago, to pay for all this? Humanity can no longer afford billionaires. Put an immediate 90% tax on everything over 1 billion, and if they no longer feel they have incentive, they can go work at a hospital where they might actually do some good. Ownership is productive of nothing on its own. A person making 50 K a year could survive for 20,000 years on just 1 billion. Tough luck if they can?t be comfortable for the rest of their life with just that amount. Shameful that they all aren?t offering to pay for as much as they can right now.",Reader Picks,Wisconsin
Wasn't this an argument made by Boris Johnson for a while - until it was calculated that this approach would lead to 500k deaths?,Reader Picks,Dusseldorf
"This is an imaginary prescription. It accounts for a perfect sequesterstion of vulnerable populations. Dangerously, it confuses the message to the public. Please hold off any solutions for now.",Reader Picks,NY
"No, the cure is not worse than the disease. Dead people cannot spend money. It's that simple. Only a 1% fatality rate? There's no such thing as ""only"" 1% of human beings. 1% of 7.7 billion is 77 million. That's 77 MILLION human lives. Consider the following: 1. COVID-19 is not the flu. It is at least 5 times as deadly, it is more transmissible, it has a higher incubation period, and it randomly kills healthy individuals. 2. Because of the high incubation period, self-isolating after symptoms develop is simply too late. 3. Allowing it to spread will allow more strains of COVID-19 to develop, potentially making it impossible to vaccinate against. 4. If COVID-19 becomes a seasonal illlness like the flu, the mortality will be largely additive ? every year, some people would die from the flu, and others from COVID-19 (or some strain of it). Let's talk about the economic impact of an additional 150,000 annual deaths! 5. Our economy isn't actually grinding to a comple halt. Many people ? Friedman included ? are able to work remotely. 6. Without drastic action, virtually everyone will get this illness. 7. If we can't flatten the curve, our health care system will be overwhelmed and the death toll will be much worse than 1%. 8. It's impossible to fully isolate the most vulnerable because they are cared for by the less vulnerable. Friedman may think some humans can be sacrificied for the good of the economy, but the economy IS human beings, and we're all in this together.",Reader Picks,NY
"It is always questionable to form a strategy based on one or two opinions, even if those are expert opinions. Criticism of Ioannidis from others, including epideiologists, is all over the web and may be for Katz, though I haven?t checked. Science works by concensus, not lone mavericks, in spite of a great deal of fiction that passes for science. The bottom line is that we have missed the testing, testing, testing boat so badly that all we can do now is flail around in a rather haphazard effort to contain.",Reader Picks,Canada
"We are united as an industry and speaking with one voice,? the chief executives of major airlines, UPS and FedEx said in a letter to congressional leaders on Saturday. ?We urge you to swiftly pass a bipartisan bill with worker payroll protections to ensure that we can save the jobs of our 750,000 airline professionals,? wrote the group, which included the heads of Southwest Airlines, Delta Air Lines, United Airlines and American Airlines. If Congress approves at least $29 billion in grants for the industry, the executives said they would commit to no furloughs or layoffs through August. If an equal amount in loans is passed, they would commit to limiting executive compensation and freezing stock buybacks and dividends for the life of the loan."" The above is from another article. What galls me is the airlines WERE PREVIOUSLY BAILED OUT. They were irresponsible and didn't save for a rainy day. They were fiscal TODDLERS. Living in the short term. Now it looks to me that they are attempting to wield their influence in the POLICY REALM. They are unelected. They squandered reserves with executive pay, stock buy backs and shareholder dividends. Now, I don't care if they fail. Let them. Unless, they change to less carbon intensive practices, they are still polluters and we still ultimately pay the price of their greed and recklessness as citizens of a global society.",Reader Picks,NM
"These are the musings of someone with first-rate health insurance and the affluence and social prominence to obtain the best of medical care on top of that. There is simply no practical means to ""sequester"" the most vulnerable, especially with a rapidly moving virus that will doubtless itself be the best determiner of who is and who is not the most vulnerable. That would entail ripping apart families and communities. We don't all live in separate nuclear-family homes, our kids and parents in homes of their own, or age-sorted, gated communities. Even if we did manage to sequester many of the vulnerable, that would still leave the poor bearing the brunt of the consequences of this basically cruel and indifferent herd inoculation scheme. It's not so much a plan as an argument for immediate capitulation to what ""nature"" will do if left alone, in order to save the grotesquely unequal structure of our current economy from any more disruption or the challenge that might arise from too long having to provide support to the general populace that looks an awful lot like Andrew Yang's Universal Basic Income and Bernie Sander's Medicare For All. In short, this is Tom Friedman sinking to a low I previously did not imagine him capable of reaching. Crisis truly brings out the worst in some people as it brings out the best in others.",Reader Picks,CA
"So easy to say when you can bloviate from home. Other people don't want to put themselves at risk. 1% is merely a statistical value to you, but that represents millions of lives killed needlessly (in the U.S. alone, potentially more Americans killed than in WWII). This is not a war where civilians should be drafted to die for the sake of your 401k; for the sake of Capitalism. We should take the unprecedented wealth of this country, stop pretending our jobs matter (those non-essential jobs which have been shuttered because of the virus), and use that excess wealth to give everyone healthcare, housing, and a universal basic income. It's time to shift this economy to the 21st century. Mother nature sent us to our room to think about what we've done. Trying to ""get back to normal"" misses the point entirely. We have to radically change our behavior as humans, and our economy. Now is the time.",Reader Picks,MO  
There isn't enough money? Great Britain is looking at paying people up to 80% of their salaries to stay at home. And here in the good ole USA we always seem to have enough money to fund war after war. We always seem to find enough money to cut taxes for the already filthy rich. After already previously cutting them again and again since Saint Ronnie. There is plenty of money. There is simply way too much of it concentrated in far too few hands.,Reader Picks,US
"Thanks, Mr. President, for refusing to act when first told in January of the virus being here. Thanks for calling it a 'democratic' hoax' and 'fake news' while the virus was starting to spread. Thanks for refusing the World Health Organization's testing kits, while the virus was spreading at an increasing rate. We are dead last in testing per capita, thanks to that 'decision'. Thanks for refusing to deploy our military to build hospitals, and refusing to act on the defense powers act to get critical medical supplies and equipment to our health care providers. Counties like South Korea, Japan and Singapore did the complete opposite. They acted right away, didn't lie to their citizens, and starting widespread testing quickly. They had their first cases on the exact day as we did, or within a few days, and today have the virus completely contained, with virtually no new cases, without shutting down their economies. We, on the other hand, have to go on complete lock down, and given how out of control the virus is spreading, will go on for months, if not the rest of the year. Your inaction's, stupid decisions, and constant lies are the reason. What's even more sickening and depressing is that almost 50% of Americans believe all your lies, and think you are doing a good job at handling this crisis.",Reader Picks,Colorado
Now they're holding their employees hostage and threatening mass layoffs if they don't get taxpayer's money. Never mind the billions they earned over the last 10 years; that's theirs to keep.,Reader Picks,
"No need to alter the approach except to protect known at risk individuals. Americans are incapable of following a directive, especially if it is mostly to benefit someone else. The bulk of the American people have voted selfishly for 40 years and they will act selfishly now. The best you can do is lockdown and then let what happens happen. It will pass fairly fast because Americans will continue to spread it fast. It will also kill a lot of people, but that is the American way, rugged and careless individuals that they are. Just kidding about the rugged part. No way you don't have 6-18 months of dire case loads and economic issues. The economy is not coming back anyway, because it was always fake and built on baby-brained consumers.",Reader Picks,PA
"I think I had the coronavirus, but it was mild -- heavy chest, some cough, congestion, deep fatigue. I know what it feels like to be getting sick, and I was getting sick, and it was centered in my respiratory system. No fever. I dosed myself with massive Vitamin D, Vitamin C, oscilloconcsinum, and a homeopathic concoction and got better. Nobody had anything better to suggest. Now I want to 1) sign up as a statistic so the state of Vermont and the country knows I had it, and 2) help out where I can, because I'm probably immune now. I'm staying in for another week, but after that, I should be able to circulate without restrictions. It's silly for me to stay home if I'm immune. But am I? Nobody can tell me. I could be volunteering to be a waitress in a restaurant or a sales person at a local store, or in a hospital or doctor's office. I am a retired professor, and I could begin to teach again until all the other teachers are back in circulation. But I can't find out 1) did I have the virus or was it something else, and 2) where I might be able to volunteer, now that I'm not going to give it to someone else and am immune myself.",Reader Picks,NJ
"Maybe this is a way of restructuring the economy so that it isn?t based on continuous growth? Constant high levels of consumption, usually of temporary and disposable goods that sit in landfills for hundreds if not thousands of years is destroying our entire planet. Maybe this virus, horrible though it is, is a chance for us to discover it?s okay to skip the foreign vacations and associated carbon generation, skip the needless phone and laptop upgrades, run in a park instead of shopping in a mall, cook simple meals with seasonal, low impact ingredients at home rather than drive to a restaurant. A change had to be made. Why not now? The status quo might not have killed us as quick as illness. It doesn?t mean it wasn?t as deadly.",Reader Picks,
"10%-20% of people who get this need to go to the hospital. This an incredibly irresponsible piece, a real low point.",Reader Picks,AZ
"This column rests on six (as I count them) ?if? propositions and other assumptions. We can shorten the quarantine period to a just a few more weeks: 1. If we can achieve universal, or near universal testing in a few weeks. 2. If we can establish that the fatality rate is lower than 1 percent (Ionnadis). And why is 1% an acceptable threshold if seasonal flu is .1%? Please explain. www.statnews.com/2020/03/16/lower-coronavirus-death-rate-estimates/. 3. If we can count on a large enough population to self-quarantine for roughly the same 14 day period. How big would that group need to be? Do we have a way to count them? 4. If, after a return to normal work patterns, people will monitor their interactions and personal habits (handshakes, handwashing, etc.). 5. If immunity is, in fact, acquired after an infection has run its course. When will we have an answer to this? 6. If we can establish the reasons why some young people have been killed by the virus. Again, when will we have an answer? It seems premature to raise hopes that the quarantine period will be over in a few weeks. Let?s get a few more answers and establish the facts. Then please write a column that does not add to the confusion.",Reader Picks,NY
"When a virus with relative low fatality rate causes a global economic breakdown, maybe we should question the system itself. A system, where the lack of growth leads to a crisis. Where just-in-time-production forces a chain reaction and entire industries to halt. Epidemics will come time and again, so maybe we should gear our economy to cope with exceptional situations.",Reader Picks,Austria
"If the government had started in January to ramp up production of the WHO test, we could have enough tests now to test everyone and sequestered only those who need to. But they wasted a lot of time trying to come up with their own test which wasn't any good.",Reader Picks,Colorado
"Mr. Friedman, as us of us in the medical world would say, you have reached ""grief"" level called ""bargaining"". The ""flu"" issue was flawed from the beginning. The real ""flu"", Influenza A, is a killer. But 1. Essentially all elderly and frail people get the vaccine. 2. Essentially all medical and related fields, right down to the receptionist 3. We have some cross immunity from previous infections of it 4. Their is wide-spread rapidish testing for it. 5. we have anti-viral medications for it. Nevertheless, each year ""the flu"" causes the hospitals and medical system to near collapse each January/February (ask your medical colleagues) and 10s of thousands of deaths. And with no vaccine and no antivirals, if this gets out generally, not hundreds, not thousands, but tens of thousands in the medical field with die. It is a near certainty: kiss your economy goodbye.",Reader Picks,MA
"This solution presupposes that the low fatality rate among lower-risk people would remain low without intensive medical interventions (hospitalization, use of ventilators, etc.). If otherwise young/healthy people who get COVID-19 require hospitalization (which they appear to do, according to the NYT), then our medical system would still be overwhelmed with this approach, and the 1% or 0.5% fatality rate could increase substantially.",Reader Picks,NY 
"Irresponsible column from someone who is not a doctor, not a scientist -- in a country without enough test kits to test its citizens, so who knows how horrible the problem is right now and how terrible it will become in the next few weeks. This column is, what's the word, Trumpian.",Reader Picks,Texas
"I suggest that maybe for once, let's try something new and look to other countries who have gone, and still are going through the same exact thing. The US and South Korea had their first case on the exact same day. Look at where they are today, thanks to rational decision making and preparedness, and where we are. If South Korea restarts their economy, that would be one thing. But the US is on the curve to become like Italy in about 10 days or so. Italy, mind you, is on total shutdown. I am sick of hearing people obsessed with the economy how awful everything is. Cry me a river. Other countries don't have economies? Their citizens and businesses don't suffer? Is this another kind of American Exceptionalism, that the beast that is our economy, can't be restrained any longer or it will just give up the ghost and die? I just listened to a podcast ""Sundial"" from WLRN in South Florida talking about the shutdown, hotels and beaches being closed, and not one single word was wasted on the damage done by allowing mass gatherings to proceed, with those college kids now back in their communities spreading the coronavirus. All they talked about was the suffering hospitality industry. Typical. Greed Over People.",Reader Picks,Florida
"It?s utter monstrous think people will voluntarily self-isolate ?just like they do with the flu.? Have you ever worked... anywhere!? People come to work sick all the time, and every ad on TV for daytime flu medicine tells them to. Only highly privileged employees can take sick leave. Others will lose their jobs if they don?t show up.",Reader Picks,CT 
"This is what happens when there?s no leadership at the top?when you?ve created such ill will among half the population that no one really believes anything you say. As a result, we now have 50 governors trying to wade through everything by themselves, making decisions they believe right for their state. Imagine a different leader, marshaling the ?best and brightest? and who the nation believed was smart enough to know he ?alone CAN?T fix it?, and I believe we?d be in a very different place. We?d have begun testing earlier, heeded the warnings, while talking to other world leaders and our own scientists (not just the wonderful Dr. Fauci) on the best approach. The Dr. Katz?s of the world would have had a seat at the table long before panic set in. Instead, we have Trump sending North Korea an offer of assistance.",Reader Picks,NC
"I just don't understand: If we needed a million bombs, we'd make a million bombs, If we needed a hundred planes we'd make a hundred planes. It is apparent we need a million hospital beds and that attendant supplies. It is the curve they are all talking about, if we had the supplies to treat people, then are economy would not have shut down?! How come the Chinese did it? and we can't?",Reader Picks,NY
"There a few lessons already visible. I doubt America will draw the right inferences however. A coordinated federal response is the only rational way to deal with a pandemic, not state-by-state and Governor-by-Governor. A two week work Holiday should have been ordered for the whole country, with two weeks paid leave guaranteed. That should have been passed a month ago, and started a week ago. The Republicans in the Senate and the White House should all be thrown out of office, or forced to resign for incompetence and malfeasance. The NIH budget should be raised 25% and the CDC budget should be raised 75%. Last but not least: Anthony Fauci should be installed as temporary head of the Government until the next election.",Reader Picks,Texas
"I agree. This crisis is a wake-up call to transform our lives and economy to deal with the viruses of climate change, war, violence, inequality, lack of a public health care system. Investing in green jobs is a great starting point.",Reader Picks,CA
"""Either we let many of us get the coronavirus, recover and get back to work..."" Ok, you go first. Data show that up to one-fifth of infected people ages 20-44 have been hospitalized, including 2%-4% who required treatment in an intensive care unit. If we do that all at once, there will not be enough beds and ventilators, and people will die. But no problem as long as it's not you, right?",Reader Picks,Arizonia
"I think what you are saying--let some people die--is different from what the article is saying--isolate only the most vulnerable. Your idea: let them die, might lead to the death of up to 2 million Americans which is morally bankrupt and definitely not in the ""long term benefit of society"".",Reader Picks,CA
"Couldn?t agree more. There is an unspoken but ever present value placed on the economic system but not on the many souls who work without healthcare so that others can be paid more and the businesses themselves retain more in profit. In a pandemic the societal/community value of all that ?under work? suddenly rises to the surface and we see how all our lives are actually interconnected and none is left out, however small. It then becomes a question of saving the society and the individual workers not just the schema of business. Friedman et al. seem to have missed this lesson and operate in their own silos. Trump isn?t operational at all, which is how we got to this point. In a manner of speaking we are about to become the next Trump bankruptcy.",Reader Picks,NY
"What every country needs - especially the slow kid kid in the class, Trump's America - is a bumper crop of face masks, fever thermometers, personal protective equipment, ventilators, test kits and 14-day quarantine....none of it is rocket science. Trump-Pence's two-month ""Chinese virus' spiteful sleepwalking incompetence in January-February needs to be corrected today and on November 3 2020.",Reader Picks,NJ
"As I posted in my comment. Letting the virus run wild within the general pop does not help the hospitals that are/will be dealing with too many sick people at any one time. See Italy, Spain, etc. for further evidence. Not sure what's so hard to understand about rebooting the economy when more masks and ventilators and healthy helpers are on hand. Why is Friedman and others at this time talking about the economy as if it can't be changed? After all, the economic structure of this country has led to some of the issues we're dealing with right now. So why back to business as usual? Odd.",Reader Picks,Norway
We have evidently reached the point in history where we confuse money?a construct?with human value. We have collectively devolved in sociopathy.,Reader Picks,CA
"First we blew mass testing. Then we did the same with masks, and PPEs. Now we?re down to trying to get ahead of the final stage, with ventilators. Without a war-time type effort to respond, we?ve been consistently late on all fronts. The economic recovery will have to wait. Mass testing and tracing would still make a big difference if we got in the game in a timely manner. That does not appear to be occurring.",Reader Picks,IL 
"And as to the arguments that Friedman, Ioannidis, and Katz have espoused--arguments that I think do have merit, inasmuch as it is likely, according to the recent Columbia model and others, that there may be ten to twelve unknown COVID-19 infections for each one that is known, but the overwhelming majority of these are not severe or even asymptomatic, meaning the actual mortality rate is much lower than the most common figures currently mentioned--we could discuss them a lot more seriously in a better resourced health system that had testing, ventilators, and personal protective equipment more readily available. It's certainly true that the dithering incompetence of our current administration has led us into a bigger hole than was necessary--especially when we contrast with South Korea or Taiwan's responses. But given where we are, we will need at least four weeks of pretty good global isolation to slow transmission. At that point, we may be able to go with just isolating the most vulnerable--and, of course, we do need to determine just what the characteristics of the most vulnerable are. Still, this should not be a wasted opportunity. Our situation radically demonstrates the need for a much augmented safety net. Everyone should have sick time. Everyone should have access to health care paid mostly through progressive taxation, not income ability. And Yang's idea of UBI to mitigate these kinds of shocks makes more and more sense every day.",Reader Picks,NY
The testing is NOT available in meaningful volumes yet.,Reader Picks,CA
"""I'm 76 years old. How incredibly selfish it would be to wish for a nationwide shut down for the next 6 months to increase my chances of living..."" As an over-70, I agree there's a time to step aside. But there's enough wealth in this country, that surely we can establish an economic system in which a significant part of the population is worth more than the almighty dollar. This isn't just for you and me, but for many others as well.",Reader Picks,NC
"Thank you, thank you, thank you for such a thoughtful piece. Since we really have no idea what the denominator is in terms of infections, keeping everybody quarantined is the only reasonable course for now. That way, the first wave of really ill people can hopefully be managed her the next couple of weeks. But keeping everybody locked down for an indefinite period of time seems like overkill. Businesses are already laying off massive numbers of people, which only increases hardships. We've heard the doomsday scenario, with some calling for a soft lockdown for everybody until we have a vaccine. Most experts think this will take at least another 15 months or so, and even with a vaccine, creating tens of millions of doses will take time. But what if a vaccine isn't found? Would we then live in a limited contact environment for 2 years? 3 years?? 5 years??? We will eventually need to have herd immunity, and one way or another we will get it. But it doesn't seem reasonable that every scenario needs to lead to economic ruin that will bankrupt big companies and small ones alike, and wipe out a large chunk of the entrepreneurial class. Retirement plans will be destroyed and local governments will go broke. We need to move towards a strategy of risk mitigation instead of risk elimination. Because risk elimination strategies never work completely; there are always ancillary effects.",Reader Picks,NY
"I am deeply troubled by this piece. It has so many weaknesses! One, there is way too much uncertainty about who will get seriously ill or die to even begin a serious attempt to develop criteria to identify the most vulnerable. Two, the unconscionable lack of testing and medical supplies to address the imminent tsunami of hospitalizations is the strongest argument for a full shutdown to flatten the curve. Three, this column does not offer even one specific suggestion re how we would ?do our utmost? to protect the most vulnerable. How would they be identified? How would the family members they live with be dealt with? The level of intervention needed to successfully carry out such a scheme boggles the mind. Or will we create ghettos? At worst, this is just a flimsy argument to provide moral cover to those who would let the virus run its course and let the vulnerable and the health care professionals who care for them die. At best, this ?cure? is even more unworkable than the one we are trying now. The current cure at least offers a way for everyone to help one another ? we are all in this together. The most dangerous thing about Mr. Friedman?s line of thinking is that it will endanger the fragile solidarity that true heroes, like Dr. Fauci, Governor Cuomo and most epidemiologists have fought for this week. Speculate all you want, but please do nothing to weaken the current response, which is our only hope right now.",Reader Picks,NY
"I am so grateful that someone finally said this! This feels sensible, realistic and so much more intelligent than the heavy-handed unsupervised economic experiment we are currently taking with so many people's lives. We've over-focused on those who can be harmed by coronovirus and not those who will be harmed by losing their jobs, their retirement savings and their financial security. There is a middle way - a way to slow down the spread and impact of the virus on the most vulnerable while not slamming shut the ability of many of us to work and support ourselves in the meantime. Thank you for having the courage to publish this article and share these opinions - I've been waiting for someone to do so!",Reader Picks,CA
